-2.381259811111111,-77.23365765 -- no vale -- no utilizar A1
-2.3807184472222223,-77.50278890555556 -- FOTOS-- A2
-2.3802341694444444,-77.50264318888888,437,
-2.3811171055555556,-77.5027661, 438,
-2.381095488888889,-77.50276867777778, 438,
-2.381125030555556,-77.50287484444445, 438,
-2.3811063194444446,-77.50287560833333, 438,
-2.3810564916666666,-77.5027122,437, 
-2.380773797222222,-77.50275013611112,437,
-2.3807742083333334,-77.50276705277778, 439,  
-2.380766788888889,-77.5027667388889,438,
-2.380764188888889,-77.50274058333333,439,
-2.3808076472222224,-77.50274422222222,437,
-2.3808059833333335,-77.50273564166666,439,
-2.3808001305555555,-77.50269862222223,437,
-2.3807164944444446,-77.50270914444444,439,
-2.380722027777778,-77.50277351388888,437,
-2.3807128416666665,-77.50277506944444,438,
-2.3806954583333333,-77.502771725,437,
-2.3807024194444444,-77.50288361111112,439,
-2.380740416666667,-77.502795725,437,
-2.3807447222222224,-77.50281855277778,439,
-2.380745166666667,-77.5028269138889,438,
-2.380784561111111,-77.50282435833333,439,
-2.380779197222222,-77.50279171388888,437,
-2.3807655305555557,-77.502793175,439,
-2.3807677916666665,-77.50281724166666,437,
-2.380751761111111,-77.50290840277778,439,
-2.3807050444444444,-77.50290676666667,438,
-2.3807309666666665,-77.50319419166667,440,
-2.380776527777778,-77.50319026388888,439,
-2.3808198583333335,-77.50253739722223,438,
-2.380702605555556,-77.50254985,436,
-2.3808271444444444,-77.50265022222223,438,
-2.3807089777777777,-77.50273226944445,437,
-2.380622286111111,-77.50273938888888,439,
-2.380624663888889,-77.50275944722222,438,
-2.380645136111111,-77.50275860277777,439,
